URL;Equipo;Pantalla;Memoria_interna;RAM;Cámara_principal;Cámara_frontal;Batería;Sistema_operativo;Conectividad_celular;Procesador;CPU;GPU;Peso;Tamaño;Soporte_eSIM;Potencia_de_carga;Almacenamiento_externo;Conector_de_audífonos;Wi-Fi;GPS;NFC;Bluetooth;Lector_de_huellas_digitales;Tiendas_y_Precios
https://www.solotodo.cl/products/83233-lg-k51s-k510hm-azul;LG K51S (K510HM / Azul);"LCD IPS 6.5"" táctil (1600x720) / 60 Hz";64 GB;3 GB;"Estándar 32.0 MP
		 + Gran angular (Wide angle) 5.0 MP
		 + Macro 2.0 MP 
		 + Percepción profundidad (Bokeh) 2.0 MP";Estándar 13.0 MP;4000 mAh;"Android 9.0 ""Pie""";4G;MediaTek Helio P35 (MT6765) (2300 MHz);"ARM Cortex A53 (Quad core / 2300 MHz) 
		 + ARM Cortex A53 (Quad core / 1800 MHz)";Imagination Technologies PowerVR GE8320;195 g.;77 x 165 x 8 mm;No;10.0 W.;microSD;Sí;Sí;Sí;No;Sí;Sí;Sin datos de precios
https://www.solotodo.cl/products/215742-bmobile-c41-dark-gray;Bmobile C41 (Dark Gray);"LCD 2.8"" (160x128) / 60 Hz";128 MB;48 MB;Estándar 1.3 MP;N/A;1400 mAh;MTK;4G;N/A;N/A;N/A;362 g.;58 x 109 x 20 mm;No;5.0 W.;microSD;No;No;No;No;Sí;No;Sin datos de precios
https://www.solotodo.cl/products/183579-motorola-moto-e13-64-gb-2-gb-aurora-green;Motorola Moto E13 (64 GB / 2 GB / Aurora Green);"LCD IPS 6.5"" táctil (1600x720) / 60 Hz";64 GB;2 GB;Estándar 13.0 MP;Estándar 5.0 MP;5000 mAh;Android Go 13;4G;Spreadtrum Tiger T606 (1600 MHz);"ARM Cortex A75 (Dual core / 1600 MHz) 
		 + ARM Cortex A55 (Hexa core / 1600 MHz)";ARM Mali G57 MP1;180 g.;75 x 164 x 9 mm;No;10.0 W.;microSD;Sí;Sí;Sí;No;Sí;No;Sin datos de precios
https://www.solotodo.cl/products/235468-motorola-moto-g04-128-gb-4-gb-concord-black;Motorola Moto G04 (128 GB / 4 GB / Concord Black);"LCD IPS 6.6"" táctil (1612x720) / 90 Hz";128 GB;4 GB;Estándar 16.0 MP;Estándar 5.0 MP;5000 mAh;Android 14;4G;Spreadtrum Unisoc T606 (1600 MHz);"ARM Cortex A75 (Dual core / 1600 MHz) 
		 + ARM Cortex A55 (Hexa core / 1600 MHz)";ARM Mali G57 MP1;179 g.;75 x 164 x 8 mm;No;15.0 W.;microSD;Sí;Sí;Sí;No;Sí;Sí;Sin datos de precios
https://www.solotodo.cl/products/248505-motorola-moto-e14-64-gb-2-gb-graphite-gray;Motorola Moto E14 (64 GB / 2 GB / Graphite Gray);"LCD IPS 6.6"" táctil (1612x720) / 90 Hz";64 GB;2 GB;Estándar 13.0 MP;Estándar 5.0 MP;5000 mAh;Android Go 14;4G;Spreadtrum Tiger T606 (1600 MHz);"ARM Cortex A75 (Dual core / 1600 MHz) 
		 + ARM Cortex A55 (Hexa core / 1600 MHz)";ARM Mali G57 MP1;179 g.;75 x 164 x 8 mm;No;15.0 W.;microSD;Sí;Sí;Sí;No;Sí;No;"PC Factory: $67.890 (https://www.pcfactory.cl/producto/52245-motorola-smartphone-moto-e14-64gb-2gb-gris-liberado); Ripley: $69.990 (https://simple.ripley.cl/celular-moto-e14-motorola-64gb-4gb-ram-13mp-66-gris-2000401707124p); Motorola Shop: $69.990 (https://www.motorola.cl/moto-e14/p?skuId=292); Hites: $69.990 (https://www.hites.com/smartphone-motorola-moto-e14-64-gb-liberado-944246001.html); Paris: $69.990 (https://ad.soicos.com/-149A?dl=https%3A%2F%2Fwww.paris.cl%2Fsmartphone-moto-e14-64gb-6.6-gris-liberado-757464999.html&trackerID=ST_405755459_2c30c955-16e2-40cf-95be-a48c2fe1c0ed)"
https://www.solotodo.cl/products/245327-motorola-moto-g04s-128-gb-4-gb-concord-black-pb380028cl;Motorola Moto G04s (128 GB / 4 GB / Concord Black) [PB380028CL];"LCD IPS 6.6"" táctil (1612x720) / 90 Hz";128 GB;4 GB;Estándar 5.0 MP;Estándar 50.0 MP;5000 mAh;Android 14;4G;Spreadtrum Unisoc T606 (1600 MHz);"ARM Cortex A75 (Dual core / 1600 MHz) 
		 + ARM Cortex A55 (Hexa core / 1600 MHz)";ARM Mali G57 MP1;179 g.;75 x 164 x 8 mm;No;15.0 W.;microSD;Sí;Sí;Sí;Sí;Sí;Sí;Sin datos de precios
https://www.solotodo.cl/products/227597-zte-blade-a54-128-gb-4-gb-black;ZTE Blade A54 (128 GB / 4 GB / Black);"LCD IPS 6.6"" táctil (1612x720) / 60 Hz";128 GB;4 GB;"Estándar 13.0 MP
		 + Percepción profundidad (Bokeh) 0.3 MP";Estándar 2.0 MP;5000 mAh;Android 13;4G;Spreadtrum SC9863A (1600 MHz);"ARM Cortex A55 (Quad core / 1600 MHz) 
		 + ARM Cortex A55 (Quad core / 1200 MHz)";Imagination Technologies PowerVR GE8322;185 g.;79 x 164 x 9 mm;No;10.0 W.;microSD;Sí;Sí;Sí;No;Sí;Sí;Sin datos de precios
https://www.solotodo.cl/products/155478-motorola-moto-e22i-64-gb-2-gb-graphite-gray;Motorola Moto E22i (64 GB / 2 GB / Graphite Gray);"LCD IPS 6.5"" táctil (1600x720) / 90 Hz";64 GB;2 GB;"Estándar 16.0 MP
		 + Percepción profundidad (Bokeh) 2.0 MP";Estándar 5.0 MP;4020 mAh;Android Go 12;4G;MediaTek Helio G37 [MT6765V/CB] (2300 MHz);"ARM Cortex A53 (Quad core / 2300 MHz) 
		 + ARM Cortex A53 (Quad core / 1800 MHz)";Imagination Technologies PowerVR GE8320;169 g.;75 x 164 x 8 mm;No;10.0 W.;microSD;Sí;Sí;Sí;No;Sí;Sí;Sin datos de precios
https://www.solotodo.cl/products/230200-samsung-galaxy-a05-a055-128-gb-4-gb-black;Samsung Galaxy A05 (A055 / 128 GB / 4 GB / Black);"PLS 6.7"" táctil (1600x720) / 60 Hz";128 GB;4 GB;"Estándar 50.0 MP
		 + Percepción profundidad (Bokeh) 2.0 MP";Estándar 8.0 MP;5000 mAh;Android 13;4G;MediaTek Helio G85 (2000 MHz);"ARM Cortex A75 (Dual core / 2000 MHz) 
		 + ARM Cortex A55 (Hexa core / 1800 MHz)";ARM Mali G52 MC2;195 g.;78 x 169 x 9 mm;No;25.0 W.;microSD;No;Sí;Sí;No;Sí;Sí;Sin datos de precios
https://www.solotodo.cl/products/120167-vivo-y11s-32-gb-3-gb-nebula-blue;Vivo Y11s (32 GB / 3 GB / Nebula Blue);"LCD IPS 6.5"" táctil (1600x720) / 60 Hz";32 GB;3 GB;"Estándar 13.0 MP
		 + Percepción profundidad (Bokeh) 2.0 MP";Estándar 8.0 MP;5000 mAh;Android 10;4G;Qualcomm Snapdragon 460 (1800 MHz);"Qualcomm Kryo 240 (Quad core / 1800 MHz) 
		 + Qualcomm Kryo 240 (Quad core / 1600 MHz)";Qualcomm Adreno 610;191 g.;76 x 164 x 8 mm;No;10.0 W.;microSD;Sí;Sí;Sí;No;Sí;Sí;Sin datos de precios
