url,equipo,pantalla,memoria_interna,ram,cámara_principal,cámara_frontal,batería,sistema,conectividad_celular,procesador,cpu,gpu,peso,tamaño,soporte_esim,potencia_de_carga,almacenamiento_externo,conector_de_audífonos,wi-fi,gps,nfc,bluetooth,lector_de_huellas_digitales,tienda,precio,os_categoria,liberado,camara,bateria,memoria,potencia
https://www.solotodo.cl/products/215742-bmobile-c41-dark-gray,Bmobile C41 (Dark Gray),"LCD 2.8"""" (160x128) / 60 Hz",128 MB,48 MB,Estándar 1.3 MP,N/A,1400 mAh,MTK,4G,N/A,N/A,N/A,362 g.,58 x 109 x 20 mm,No,5.0 W.,microSD,No,No,No,No,Sí,No,AbcDin,34950,MTK,sí,1.3,1400,128,5
https://www.solotodo.cl/products/215742-bmobile-c41-dark-gray,Bmobile C41 (Dark Gray),"LCD 2.8"""" (160x128) / 60 Hz",128 MB,48 MB,Estándar 1.3 MP,N/A,1400 mAh,MTK,4G,N/A,N/A,N/A,362 g.,58 x 109 x 20 mm,No,5.0 W.,microSD,No,No,No,No,Sí,No, AbcDin,39990,MTK,sí,1.3,1400,128,5
https://www.solotodo.cl/products/183579-motorola-moto-e13-64-gb-2-gb-aurora-green,Motorola Moto E13 (64 GB / 2 GB / Aurora Green),"LCD IPS 6.5"""" táctil (1600x720) / 60 Hz",64 GB,2 GB,Estándar 13.0 MP,Estándar 5.0 MP,5000 mAh,Android_Go_13,4G,Spreadtrum Tiger T606 (1600 MHz),"ARM Cortex A75 (Dual core / 1600 MHz) 
		 + ARM Cortex A55 (Hexa core / 1600 MHz)",ARM Mali G57 MP1,180 g.,75 x 164 x 9 mm,No,10.0 W.,microSD,Sí,Sí,Sí,No,Sí,No,AbcDin,59990,Android,sí,13,5000,64,10
https://www.solotodo.cl/products/183579-motorola-moto-e13-64-gb-2-gb-aurora-green,Motorola Moto E13 (64 GB / 2 GB / Aurora Green),"LCD IPS 6.5"""" táctil (1600x720) / 60 Hz",64 GB,2 GB,Estándar 13.0 MP,Estándar 5.0 MP,5000 mAh,Android_Go_13,4G,Spreadtrum Tiger T606 (1600 MHz),"ARM Cortex A75 (Dual core / 1600 MHz) 
		 + ARM Cortex A55 (Hexa core / 1600 MHz)",ARM Mali G57 MP1,180 g.,75 x 164 x 9 mm,No,10.0 W.,microSD,Sí,Sí,Sí,No,Sí,No, KDTEC,84317,Android,sí,13,5000,64,10
https://www.solotodo.cl/products/183579-motorola-moto-e13-64-gb-2-gb-aurora-green,Motorola Moto E13 (64 GB / 2 GB / Aurora Green),"LCD IPS 6.5"""" táctil (1600x720) / 60 Hz",64 GB,2 GB,Estándar 13.0 MP,Estándar 5.0 MP,5000 mAh,Android_Go_13,4G,Spreadtrum Tiger T606 (1600 MHz),"ARM Cortex A75 (Dual core / 1600 MHz) 
		 + ARM Cortex A55 (Hexa core / 1600 MHz)",ARM Mali G57 MP1,180 g.,75 x 164 x 9 mm,No,10.0 W.,microSD,Sí,Sí,Sí,No,Sí,No, TIShop,86860,Android,sí,13,5000,64,10
https://www.solotodo.cl/products/183579-motorola-moto-e13-64-gb-2-gb-aurora-green,Motorola Moto E13 (64 GB / 2 GB / Aurora Green),"LCD IPS 6.5"""" táctil (1600x720) / 60 Hz",64 GB,2 GB,Estándar 13.0 MP,Estándar 5.0 MP,5000 mAh,Android_Go_13,4G,Spreadtrum Tiger T606 (1600 MHz),"ARM Cortex A75 (Dual core / 1600 MHz) 
		 + ARM Cortex A55 (Hexa core / 1600 MHz)",ARM Mali G57 MP1,180 g.,75 x 164 x 9 mm,No,10.0 W.,microSD,Sí,Sí,Sí,No,Sí,No, SP Digital,88355,Android,sí,13,5000,64,10
https://www.solotodo.cl/products/183579-motorola-moto-e13-64-gb-2-gb-aurora-green,Motorola Moto E13 (64 GB / 2 GB / Aurora Green),"LCD IPS 6.5"""" táctil (1600x720) / 60 Hz",64 GB,2 GB,Estándar 13.0 MP,Estándar 5.0 MP,5000 mAh,Android_Go_13,4G,Spreadtrum Tiger T606 (1600 MHz),"ARM Cortex A75 (Dual core / 1600 MHz) 
		 + ARM Cortex A55 (Hexa core / 1600 MHz)",ARM Mali G57 MP1,180 g.,75 x 164 x 9 mm,No,10.0 W.,microSD,Sí,Sí,Sí,No,Sí,No, Elite Center,88591,Android,sí,13,5000,64,10
https://www.solotodo.cl/products/235468-motorola-moto-g04-128-gb-4-gb-concord-black,Motorola Moto G04 (128 GB / 4 GB / Concord Black),"LCD IPS 6.6"""" táctil (1612x720) / 90 Hz",128 GB,4 GB,Estándar 16.0 MP,Estándar 5.0 MP,5000 mAh,Android_14,4G,Spreadtrum Unisoc T606 (1600 MHz),"ARM Cortex A75 (Dual core / 1600 MHz) 
		 + ARM Cortex A55 (Hexa core / 1600 MHz)",ARM Mali G57 MP1,179 g.,75 x 164 x 8 mm,No,15.0 W.,microSD,Sí,Sí,Sí,No,Sí,Sí,AbcDin,94990,Android,sí,16,5000,128,15
https://www.solotodo.cl/products/235468-motorola-moto-g04-128-gb-4-gb-concord-black,Motorola Moto G04 (128 GB / 4 GB / Concord Black),"LCD IPS 6.6"""" táctil (1612x720) / 90 Hz",128 GB,4 GB,Estándar 16.0 MP,Estándar 5.0 MP,5000 mAh,Android_14,4G,Spreadtrum Unisoc T606 (1600 MHz),"ARM Cortex A75 (Dual core / 1600 MHz) 
		 + ARM Cortex A55 (Hexa core / 1600 MHz)",ARM Mali G57 MP1,179 g.,75 x 164 x 8 mm,No,15.0 W.,microSD,Sí,Sí,Sí,No,Sí,Sí, Hites,99990,Android,sí,16,5000,128,15
https://www.solotodo.cl/products/248505-motorola-moto-e14-64-gb-2-gb-graphite-gray,Motorola Moto E14 (64 GB / 2 GB / Graphite Gray),"LCD IPS 6.6"""" táctil (1612x720) / 90 Hz",64 GB,2 GB,Estándar 13.0 MP,Estándar 5.0 MP,5000 mAh,Android_Go_14,4G,Spreadtrum Tiger T606 (1600 MHz),"ARM Cortex A75 (Dual core / 1600 MHz) 
		 + ARM Cortex A55 (Hexa core / 1600 MHz)",ARM Mali G57 MP1,179 g.,75 x 164 x 8 mm,No,15.0 W.,microSD,Sí,Sí,Sí,No,Sí,No,Motorola Shop,69990,Android,sí,13,5000,64,15
